PID,TyreType,Brand,TreadPattern,Size,Quantity
101.202.301.401,Resilient,BrandB,Pattern1,Small,186
101.203.302.401,Resilient,BrandC,Pattern2,Small,189
102.203.304.401,Press-On,BrandC,Pattern4,Small,167
102.201.303.402,Press-On,BrandA,Pattern3,Medium,107
102.203.301.401,Press-On,BrandC,Pattern1,Small,177
101.203.301.403,Resilient,BrandC,Pattern1,Large,144
101.202.303.402,Resilient,BrandB,Pattern3,Medium,141
101.202.303.403,Resilient,BrandB,Pattern3,Large,195
101.202.304.402,Resilient,BrandB,Pattern4,Medium,182
102.202.303.402,Press-On,BrandB,Pattern3,Medium,195
102.201.303.401,Press-On,BrandA,Pattern3,Small,102
102.201.303.403,Press-On,BrandA,Pattern3,Large,151
