PID,TyreType,Brand,TreadPattern,Size,Quantity
102.201.303.403,Press-On,BrandA,Pattern3,Large,1
103.201.303.403,Resilient-Basic,BrandA,Pattern3,Large,1
103.202.304.401,Resilient-Basic,BrandB,Pattern4,Small,1
101.201.303.401,Resilient-SoftBond,BrandA,Pattern3,Small,1
102.203.301.401,Press-On,BrandC,Pattern1,Small,1
102.202.301.401,Press-On,BrandB,Pattern1,Small,1
102.201.304.402,Press-On,BrandA,Pattern4,Medium,1
103.201.302.402,Resilient-Basic,BrandA,Pattern2,Medium,1
101.202.304.403,Resilient-SoftBond,BrandB,Pattern4,Large,1
103.203.302.401,Resilient-Basic,BrandC,Pattern2,Small,1
101.201.304.403,Resilient-SoftBond,BrandA,Pattern4,Large,1
101.202.302.401,Resilient-SoftBond,BrandB,Pattern2,Small,1
101.203.304.403,Resilient-SoftBond,BrandC,Pattern4,Large,1
103.202.303.403,Resilient-Basic,BrandB,Pattern3,Large,1
103.201.304.401,Resilient-Basic,BrandA,Pattern4,Small,1
103.203.301.402,Resilient-Basic,BrandC,Pattern1,Medium,1
103.202.303.402,Resilient-Basic,BrandB,Pattern3,Medium,1
102.202.303.402,Press-On,BrandB,Pattern3,Medium,1
102.202.301.402,Press-On,BrandB,Pattern1,Medium,1
101.201.303.402,Resilient-SoftBond,BrandA,Pattern3,Medium,1
102.203.303.402,Press-On,BrandC,Pattern3,Medium,1
103.203.302.403,Resilient-Basic,BrandC,Pattern2,Large,1
102.201.301.402,Press-On,BrandA,Pattern1,Medium,1
102.201.304.403,Press-On,BrandA,Pattern4,Large,1
102.203.301.403,Press-On,BrandC,Pattern1,Large,1
102.203.304.401,Press-On,BrandC,Pattern4,Small,1
103.203.302.402,Resilient-Basic,BrandC,Pattern2,Medium,1
102.203.302.401,Press-On,BrandC,Pattern2,Small,1
102.201.303.402,Press-On,BrandA,Pattern3,Medium,1
101.202.304.402,Resilient-SoftBond,BrandB,Pattern4,Medium,1
101.201.301.401,Resilient-SoftBond,BrandA,Pattern1,Small,1
101.202.301.402,Resilient-SoftBond,BrandB,Pattern1,Medium,1
102.203.303.403,Press-On,BrandC,Pattern3,Large,1
103.201.303.401,Resilient-Basic,BrandA,Pattern3,Small,1
103.203.303.401,Resilient-Basic,BrandC,Pattern3,Small,1
101.203.304.402,Resilient-SoftBond,BrandC,Pattern4,Medium,1
101.203.302.402,Resilient-SoftBond,BrandC,Pattern2,Medium,1
103.203.301.401,Resilient-Basic,BrandC,Pattern1,Small,1
102.202.303.401,Press-On,BrandB,Pattern3,Small,1
101.202.304.401,Resilient-SoftBond,BrandB,Pattern4,Small,1
103.202.304.403,Resilient-Basic,BrandB,Pattern4,Large,1
101.201.302.401,Resilient-SoftBond,BrandA,Pattern2,Small,1
103.203.304.403,Resilient-Basic,BrandC,Pattern4,Large,1
101.203.302.403,Resilient-SoftBond,BrandC,Pattern2,Large,1
102.201.301.401,Press-On,BrandA,Pattern1,Small,1
103.201.304.402,Resilient-Basic,BrandA,Pattern4,Medium,1
102.202.304.402,Press-On,BrandB,Pattern4,Medium,1
103.202.304.402,Resilient-Basic,BrandB,Pattern4,Medium,1
102.202.302.402,Press-On,BrandB,Pattern2,Medium,1
103.202.302.402,Resilient-Basic,BrandB,Pattern2,Medium,1
103.202.301.402,Resilient-Basic,BrandB,Pattern1,Medium,1
102.201.302.403,Press-On,BrandA,Pattern2,Large,1
101.201.301.403,Resilient-SoftBond,BrandA,Pattern1,Large,1
101.202.303.403,Resilient-SoftBond,BrandB,Pattern3,Large,1
102.201.302.402,Press-On,BrandA,Pattern2,Medium,1
102.202.304.401,Press-On,BrandB,Pattern4,Small,1
101.202.302.403,Resilient-SoftBond,BrandB,Pattern2,Large,1
103.203.301.403,Resilient-Basic,BrandC,Pattern1,Large,1
101.202.301.403,Resilient-SoftBond,BrandB,Pattern1,Large,1
102.201.301.403,Press-On,BrandA,Pattern1,Large,1
101.203.302.401,Resilient-SoftBond,BrandC,Pattern2,Small,1
103.203.303.403,Resilient-Basic,BrandC,Pattern3,Large,1
102.202.302.401,Press-On,BrandB,Pattern2,Small,1
101.202.303.401,Resilient-SoftBond,BrandB,Pattern3,Small,1
101.201.304.402,Resilient-SoftBond,BrandA,Pattern4,Medium,1
101.201.301.402,Resilient-SoftBond,BrandA,Pattern1,Medium,1
103.202.301.403,Resilient-Basic,BrandB,Pattern1,Large,1
101.203.301.402,Resilient-SoftBond,BrandC,Pattern1,Medium,1
101.201.303.403,Resilient-SoftBond,BrandA,Pattern3,Large,1
103.201.304.403,Resilient-Basic,BrandA,Pattern4,Large,1
102.201.302.401,Press-On,BrandA,Pattern2,Small,1
101.203.304.401,Resilient-SoftBond,BrandC,Pattern4,Small,1
102.202.302.403,Press-On,BrandB,Pattern2,Large,1
101.201.302.403,Resilient-SoftBond,BrandA,Pattern2,Large,1
102.202.304.403,Press-On,BrandB,Pattern4,Large,1
102.203.303.401,Press-On,BrandC,Pattern3,Small,1
103.201.302.403,Resilient-Basic,BrandA,Pattern2,Large,1
102.202.301.403,Press-On,BrandB,Pattern1,Large,1
101.203.303.401,Resilient-SoftBond,BrandC,Pattern3,Small,1
103.202.301.401,Resilient-Basic,BrandB,Pattern1,Small,1
103.203.304.401,Resilient-Basic,BrandC,Pattern4,Small,1
101.203.303.402,Resilient-SoftBond,BrandC,Pattern3,Medium,1
103.202.303.401,Resilient-Basic,BrandB,Pattern3,Small,1
101.203.303.403,Resilient-SoftBond,BrandC,Pattern3,Large,1
